it	post	prior	lik	shape	rate	mean_bm
0	-2931.38110822	0.124899843449	-2931.50600806	5	4.4243861946	1.13010026252
10	-2167.84829861	0.132425624973	-2167.98072423	5	3.31667969595	1.50753176621
20	-1668.09776393	0.133005183144	-1668.23076912	5.78766052791	2.62063510254	2.2084953843
30	-1391.66290415	0.12103146109	-1391.78393562	8.73386394891	2.32210283251	3.76118741454
40	-882.719178288	0.123545198871	-882.842723487	9.62099432674	1.58571299494	6.06729865837
50	-702.030822433	0.118053364325	-702.148875798	11.7630261551	1.36832063493	8.59668841855
60	-290.563893604	0.115133461568	-290.679027066	14.9091303999	0.767000234852	19.4382344652
70	-213.925288223	0.110632012148	-214.035920236	17.6096200261	0.67807125813	25.9701614174
80	-93.8599333153	0.10680517534	-93.9667384906	21.6093930535	0.48313625375	44.7273266822
90	-45.4698653458	0.0987416244781	-45.5686069703	33.6444111312	0.48313625375	69.6375212376
100	-28.0172854887	0.0969749493275	-28.114260438	44.1839149007	0.432249958422	102.218436439
110	-29.2818298261	0.0966158364547	-29.3784456626	43.5227045057	0.478457461178	90.9646270297
120	-28.5795989703	0.0972844471025	-28.6768834174	43.5227045057	0.408564435692	106.525925175
130	-28.0082575341	0.0967736371452	-28.1050311712	44.1933454027	0.45317366702	97.5196676657
140	-28.023189367	0.0974732202473	-28.1206625872	41.9067490341	0.412427742534	101.609917841
150	-28.5305905738	0.0984252616909	-28.6290158354	37.5754744142	0.398727559057	94.238468249
160	-29.9706926874	0.0987585864576	-30.0694512739	38.5306091476	0.342072908109	112.638587372
170	-29.507609011	0.103082752286	-29.6106917633	27.9330181382	0.308626126404	90.5076263752
180	-28.76440612	0.101952494671	-28.8663586147	29.8294008685	0.31613245426	94.3572874803
190	-28.7458894336	0.100614915719	-28.8465043493	32.2124659713	0.343390172509	93.807186548
200	-28.1506395876	0.098575891416	-28.249215479	37.5372447432	0.383993101003	97.7549977985
210	-28.1195517953	0.0988946988743	-28.2184464942	36.8221422444	0.368924321967	99.8094732494
220	-28.0388753716	0.0973854017058	-28.1362607733	42.337395775	0.414931106321	102.034759819
230	-28.1051765953	0.0974190923601	-28.2025956876	42.337395775	0.411419923617	102.905555479
