it	post	prior	lik	shape	rate	mean_bm
0	-3329.106905	0.121306131943	-3329.22821113	5	5	1.0
10	-1413.74541676	0.130808761052	-1413.87622552	6.69239085545	2.28169261434	2.93308170144
20	-1185.27592852	0.118586222949	-1185.39451475	9.90410201011	2.05257062136	4.82521863416
30	-441.123577892	0.115153253097	-441.238731145	13.9791523594	1.00460391698	13.9150884474
40	-155.443010058	0.115094825601	-155.558104884	15.9568733256	0.532118228196	29.9874585761
50	-28.6902273482	0.104656842995	-28.7948841911	26.1900906109	0.266588214348	98.2417421376
60	-28.3688834422	0.100282555693	-28.4691659979	33.5622558194	0.325656049412	103.060440241
70	-28.3261357851	0.0996658540286	-28.4258016391	35.0516833893	0.33953113807	103.235548847
80	-28.4535155879	0.0993908781295	-28.552906466	35.0516833893	0.368018926702	95.2442411139
90	-28.4977186972	0.0994263769325	-28.5971450741	34.9342110545	0.368018926702	94.9250392299
100	-28.224370617	0.0996556555608	-28.3240262726	34.9342110545	0.344259803542	101.476299862
110	-28.3571604649	0.0999936626314	-28.4571541276	33.7441097001	0.34903764171	96.6775661641
120	-28.2597762016	0.100141701679	-28.3599179033	33.7441097001	0.333719639594	101.11514486
130	-28.2846329747	0.100098171848	-28.3847311466	33.9017071217	0.332685152903	101.903276494
140	-28.411894422	0.100720000696	-28.5126144227	32.2084748261	0.332685152903	96.8136826821
150	-28.33103004	0.100859166018	-28.431889206	32.2084748261	0.318308190648	101.186446885
160	-29.7672961494	0.0986155599412	-29.8659117093	38.9380251981	0.348110862982	111.855243081
170	-28.6537362099	0.0980710650163	-28.7518072749	40.3126368686	0.377446851203	106.80347906
180	-31.3392704728	0.100331902715	-31.4396023755	32.0990964294	0.377446851203	85.0426923077
190	-28.4998466848	0.096749668907	-28.5965963537	46.0744491286	0.434092860847	106.139615009
200	-30.9216801343	0.0978784761219	-31.0195586104	42.192116342	0.365866800605	115.320975481
210	-30.0446069041	0.100353286159	-30.1449601903	32.3250991417	0.365866800605	88.3520972338
220	-28.48352766	0.100119325292	-28.5836469853	34.0435027111	0.325595039401	104.557805223
230	-28.48352766	0.100119325292	-28.5836469853	34.0435027111	0.325595039401	104.557805223
240	-30.5198863995	0.100405883186	-30.6202922827	34.0435027111	0.296034610182	114.998387149
250	-29.253807292	0.100991625207	-29.3547989172	32.4199546771	0.296034610182	109.514068835
260	-28.6551157153	0.104257546329	-28.7593732616	26.6830880478	0.271594824549	98.2459370946
270	-28.6141786864	0.104056680438	-28.7182353669	26.9769226249	0.271594824549	99.3278228691
