it	post	prior	lik	shape	rate	mean_bm
0	-3329.106905	0.121306131943	-3329.22821113	5	5	1.0
10	-302.308790963	0.0771937005604	-302.385984664	130.046115079	2.58855245905	50.238933588
20	-44.1456133856	0.0897417161394	-44.2353551017	130.046115079	1.08236969282	120.149442415
30	-42.1388243019	0.0897567094336	-42.2285810114	87.9042766193	1.08236969282	81.2146507821
40	-30.5878113486	0.0897460447921	-30.6775573934	99.9699732129	1.08236969282	92.3621327134
50	-28.7607032201	0.0897432795107	-28.8504464997	109.316241195	1.08236969282	100.997137965
60	-28.7699449331	0.0897525782341	-28.8596975113	109.316241195	1.08133357879	101.093911572
70	-28.7699449331	0.0897525782341	-28.8596975113	109.316241195	1.08133357879	101.093911572
80	-28.8202705794	0.0897534811487	-28.9100240605	105.22909015	1.08133357879	97.3141796513
90	-28.8202705794	0.0897534811487	-28.9100240605	105.22909015	1.08133357879	97.3141796513
100	-28.8202705794	0.0897534811487	-28.9100240605	105.22909015	1.08133357879	97.3141796513
110	-28.7970836233	0.090216719295	-28.8873003426	105.22909015	1.02985249767	102.178797826
120	-28.7970836233	0.090216719295	-28.8873003426	105.22909015	1.02985249767	102.178797826
130	-28.7970836233	0.090216719295	-28.8873003426	105.22909015	1.02985249767	102.178797826
140	-28.7970836233	0.090216719295	-28.8873003426	105.22909015	1.02985249767	102.178797826
150	-28.7970836233	0.090216719295	-28.8873003426	105.22909015	1.02985249767	102.178797826
160	-28.7970836233	0.090216719295	-28.8873003426	105.22909015	1.02985249767	102.178797826
170	-28.7970836233	0.090216719295	-28.8873003426	105.22909015	1.02985249767	102.178797826
180	-28.7970836233	0.090216719295	-28.8873003426	105.22909015	1.02985249767	102.178797826
190	-29.0666606092	0.090216425073	-29.1568770343	106.386838736	1.02985249767	103.30298657
200	-29.0666606092	0.090216425073	-29.1568770343	106.386838736	1.02985249767	103.30298657
210	-29.0666606092	0.090216425073	-29.1568770343	106.386838736	1.02985249767	103.30298657
220	-29.0666606092	0.090216425073	-29.1568770343	106.386838736	1.02985249767	103.30298657
230	-29.0666606092	0.090216425073	-29.1568770343	106.386838736	1.02985249767	103.30298657
240	-29.0666606092	0.090216425073	-29.1568770343	106.386838736	1.02985249767	103.30298657
250	-29.0666606092	0.090216425073	-29.1568770343	106.386838736	1.02985249767	103.30298657
260	-29.0666606092	0.090216425073	-29.1568770343	106.386838736	1.02985249767	103.30298657
270	-29.0666606092	0.090216425073	-29.1568770343	106.386838736	1.02985249767	103.30298657
280	-28.6893286608	0.0897580819155	-28.7790867427	106.386838736	1.08078819581	98.4344935935
290	-28.6893286608	0.0897580819155	-28.7790867427	106.386838736	1.08078819581	98.4344935935
300	-28.6893286608	0.0897580819155	-28.7790867427	106.386838736	1.08078819581	98.4344935935
310	-28.7364804761	0.0897582185913	-28.8262386947	105.832319496	1.08078819581	97.9214242965
320	-28.7364804761	0.0897582185913	-28.8262386947	105.832319496	1.08078819581	97.9214242965
330	-28.910414267	0.0902095777194	-29.0006238447	105.832319496	1.03062668988	102.687345996
340	-28.910414267	0.0902095777194	-29.0006238447	105.832319496	1.03062668988	102.687345996
350	-28.910414267	0.0902095777194	-29.0006238447	105.832319496	1.03062668988	102.687345996
360	-28.9566380596	0.0902095285242	-29.0468475881	106.028390263	1.03062668988	102.877590213
370	-28.9566380596	0.0902095285242	-29.0468475881	106.028390263	1.03062668988	102.877590213
380	-28.9566380596	0.0902095285242	-29.0468475881	106.028390263	1.03062668988	102.877590213
390	-29.4602459182	0.0894573863155	-29.5497033046	106.028390263	1.11435578449	95.1477003478
400	-28.7950567243	0.0894566496463	-28.884513374	109.545286921	1.11435578449	98.3036911965
410	-29.4175485369	0.0894558815745	-29.5070044185	115.333360746	1.11435578449	103.497789801
420	-29.4175485369	0.0894558815745	-29.5070044185	115.333360746	1.11435578449	103.497789801
430	-29.4175485369	0.0894558815745	-29.5070044185	115.333360746	1.11435578449	103.497789801
440	-29.4175485369	0.0894558815745	-29.5070044185	115.333360746	1.11435578449	103.497789801
450	-29.841779531	0.0895798799366	-29.931359411	115.333360746	1.10050383244	104.800508046
460	-29.841779531	0.0895798799366	-29.931359411	115.333360746	1.10050383244	104.800508046
470	-29.841779531	0.0895798799366	-29.931359411	115.333360746	1.10050383244	104.800508046
