it	post	prior	lik	shape	rate	mean_bm
0	-2505.55618832	0.128990407772	-2505.68517873	5	3.807138367447465	1.313322374293504
10	-135.869439956	0.141566521019	-136.011006477	7.991211166035858	0.34652352719808616	23.061092649757587
20	-86.2926043984	0.121538761711	-86.4141431601	13.885110064714357	0.34652352719808616	40.06974700097952
30	-63.2070020691	0.113106954293	-63.3201090234	18.010320577820327	0.34652352719808616	51.97430813269119
40	-37.085182761	0.115726129678	-37.2009088907	17.750860999549232	0.12282685119091388	144.51938503217409
50	-29.398881677	0.113560211884	-29.5124418888	18.68825843332336	0.18879720184226406	98.98588671317805
60	-29.3901314045	0.112215949981	-29.5023473544	19.599737791789092	0.18879720184226406	103.81370910446144
70	-29.4969093292	0.111604655978	-29.6085139852	20.04340196342326	0.18879720184226406	106.16366009581586
80	-29.556694663	0.111377133997	-29.668071797	20.213692222654622	0.18879720184226406	107.06563458256505
90	-29.3555466117	0.112874409263	-29.468421021	19.14288475484323	0.18879720184226406	101.39390079963522
100	-29.3879339472	0.113460947404	-29.5013948946	18.752796402106124	0.18879720184226406	99.32772424123995
110	-29.6272454607	0.114698826124	-29.7419442868	17.97631420451046	0.18879720184226406	95.2149397824724
120	-29.3676895228	0.113217980687	-29.4809075035	18.912544113491585	0.18879720184226406	100.17385813425668
130	-29.4000938453	0.113570419438	-29.5136642647	18.681645428298324	0.18879720184226406	98.95085968438468
140	-29.4873968413	0.11164537261	-29.5990422139	20.013230914686304	0.18879720184226406	106.00385344379691
150	-29.1239065796	0.108646370966	-29.2325529505	22.141068732111155	0.23050980268250593	96.05261240281087
160	-28.9167093409	0.107516013064	-29.024225354	23.233239981338393	0.23050980268250593	100.79068096439629
170	-29.6670797608	0.109822415788	-29.7769021766	21.11869746627324	0.23050980268250593	91.61735084802969
180	-29.6655431358	0.109030845469	-29.7745739813	21.730949096012402	0.23797261095867148	91.31701756966645
190	-29.0717873832	0.107852149019	-29.1796395322	22.824116592663845	0.23797261095867148	95.9106869513975
200	-28.8517025028	0.10661677942	-28.9583192823	24.114614120370298	0.23797261095867148	101.33356953653067
210	-28.8544767109	0.106547383159	-28.9610240941	24.19229357257098	0.23797261095867148	101.6599913540993
220	-30.1139982046	0.109677126181	-30.2236753308	21.17869729553104	0.23797261095867148	88.99636479262368
230	-30.1953197439	0.109783966558	-30.3051037104	21.090268658582687	0.23797261095867148	88.62477313511268
240	-29.3936650688	0.108565963182	-29.5022310319	22.147942865893306	0.23797261095867148	93.06929388499974
250	-28.9657929031	0.107516417284	-29.0733093203	23.158677996057225	0.23797261095867148	97.31656892262772
260	-28.8560122521	0.106862346844	-28.962874599	23.844482084994205	0.23797261095867148	100.19843035270668
270	-29.0454322251	0.107777190478	-29.1532094156	22.89784927120085	0.23797261095867148	96.22052377774476
280	-28.8654039723	0.106409833225	-28.9718138055	24.348068140677512	0.23797261095867148	102.3145816764015
290	-29.493427908	0.104970508417	-29.5983984164	26.142672334226063	0.23797261095867148	109.8558032746308
300	-28.8844280469	0.106268373431	-28.9906964204	24.510842499189167	0.23797261095867148	102.99858626775308
310	-28.905865774	0.106153730627	-29.0120195046	24.64473099739825	0.23797261095867148	103.56120772939823
320	-28.7890012364	0.105937073154	-28.8949383095	24.815327679396702	0.245429630668231	101.10974625122498
330	-28.7890012364	0.105937073154	-28.8949383095	24.815327679396702	0.245429630668231	101.10974625122498
340	-28.8997751052	0.105264562975	-29.0050396682	25.653812292646148	0.245429630668231	104.52614145569359
350	-30.514621949	0.103469626562	-30.6180915756	28.31226834496968	0.245429630668231	115.35798781868309
360	-31.1148049632	0.103134772994	-31.2179397362	28.897166316080998	0.245429630668231	117.74114738062683
370	-28.7905561654	0.106069791026	-28.8966259565	24.65784916538029	0.245429630668231	100.46810199014843
380	-30.0668267023	0.103774000884	-30.1706007032	27.808750829899452	0.245429630668231	113.30641192012796
390	-28.971360525	0.106966895692	-29.0783274206	23.653844301966014	0.245429630668231	96.37729656995252
400	-29.5274937724	0.108070994258	-29.6355647667	22.542314429195294	0.245429630668231	91.84838182667413
410	-28.9687353634	0.104788191499	-29.0735235549	26.254973039405566	0.2482749376953231	105.7495906881468
420	-28.9981221641	0.1047269833	-29.1028491474	26.33986973639597	0.2482749376953231	106.09153699081624
430	-28.8777800479	0.105017138928	-28.9827971868	25.943660115217515	0.2482749376953231	104.49568674166757
440	-29.5587495035	0.103973574052	-29.6627230776	27.448557886632468	0.2482749376953231	110.5571031108934
450	-29.0584764888	0.104613611684	-29.1630901005	26.499047450615805	0.2482749376953231	106.73267183792342
460	-28.9645992038	0.104797191908	-29.0693963958	26.242549898373504	0.2482749376953231	105.6995528504682
470	-29.134876462	0.107122226497	-29.2419986885	23.46076361473678	0.2482749376953231	94.49509415858661
480	-28.7796733255	0.105970800739	-28.8856441262	24.742060996369574	0.2482749376953231	99.65589449359734
490	-28.9261778331	0.106620189652	-29.0327980227	23.999364021324205	0.2482749376953231	96.6644649842814
500	-29.1151574609	0.10708148509	-29.222238946	23.503406806440594	0.2482749376953231	94.66685209798904
510	-29.139128115	0.104481110636	-29.2436092257	26.68835265204411	0.2482749376953231	107.49515396030588
520	-28.9036957878	0.104943915755	-29.0086397035	26.042175684791523	0.2482749376953231	104.89248704091848
530	-28.7821472402	0.105993281458	-28.8881405216	24.715406816589926	0.2482749376953231	99.54853698088554
540	-29.3356239757	0.104215636946	-29.4398396126	27.078772778335114	0.2482749376953231	109.06768532378213
550	-28.8338110126	0.106294314894	-28.9401053275	24.365168472971384	0.2482749376953231	98.13784951130154
