it	post	prior	lik	shape	rate	mean_bm
0	-3329.106905	0.121306131943	-3329.22821113	5	5	1.0
10	-2419.1534112	0.129084970149	-2419.28249617	5.1211617266069185	3.687135011936773	1.3889270965200924
20	-529.901564633	0.0976245301741	-529.999189163	22.76490267199847	1.3513098663897596	16.846545147204875
30	-423.3512364	0.0913342199651	-423.44257062	32.25378783878282	1.3513098663897596	23.868535737812653
40	-230.692950335	0.0912986362298	-230.784248971	40.549262918705914	1.1020600912145506	36.794058002787914
50	-167.026493407	0.0904618381847	-167.116955245	49.43550219796931	1.0815426026768626	45.70832630690128
60	-133.301228555	0.0901127713596	-133.391341326	56.16163223668377	1.0815426026768626	51.92734164856882
70	-67.3875417785	0.0912522245282	-67.478794003	62.832777881178686	0.9359118535291089	67.13535857490285
80	-50.4422332953	0.0911572143074	-50.5333905096	69.94220082859393	0.9359118535291089	74.7316112781967
90	-32.2617984426	0.09109033414	-32.3528887767	83.0060646990554	0.9359118535291089	88.69004531362496
100	-29.768724136	0.0910823612839	-29.8598064972	86.87758557693793	0.9359118535291089	92.82667512901187
110	-28.285457015	0.0910746413497	-28.3765316563	92.99846648120783	0.9359118535291089	99.36669370147621
120	-28.4990835565	0.0910726471352	-28.5901562036	95.45867562079405	0.9359118535291089	101.9953698212511
130	-29.5048822223	0.0916628602457	-29.5965450825	92.5555453596952	0.8715718051220943	106.19382684910228
140	-28.6942577856	0.0916651519781	-28.7859229376	90.4062628992486	0.8715718051220943	103.72784246569796
150	-28.3342199212	0.0916745557245	-28.4258944769	84.56408281143139	0.8715718051220943	97.02480313665632
160	-28.2524040328	0.0916734567787	-28.3440774896	85.09499829581122	0.8715718051220943	97.63395029040743
170	-28.1594941511	0.0916695056425	-28.2511636567	87.27709034861398	0.8715718051220943	100.13757883825504
180	-28.2274892936	0.0916730551282	-28.3191623487	85.29629698260794	0.8715718051220943	97.864910821271
190	-28.2274892936	0.0916730551282	-28.3191623487	85.29629698260794	0.8715718051220943	97.864910821271
200	-29.8575923923	0.0916621924652	-29.9492545848	93.27981866077158	0.8715718051220943	107.0248235573711
210	-29.68850154	0.091662497234	-29.7801640372	92.94274754249915	0.8715718051220943	106.63808420177067
220	-28.1474508064	0.0916701712303	-28.2391209776	86.87453048989623	0.8715718051220943	99.67570081931046
230	-28.633585994	0.091677503151	-28.7252634971	83.26538415820991	0.8715718051220943	95.53473812355101
240	-28.9194709023	0.0916797446931	-29.011150647	82.37957626655869	0.8715718051220943	94.51840431554406
250	-28.1602196352	0.0916714901147	-28.2518911253	86.12174613089988	0.8715718051220943	98.81199188038845
260	-28.6844957511	0.091665191544	-28.7761609426	90.37292855478093	0.8715718051220943	103.68959622566155
270	-28.1913813255	0.0916687381532	-28.2830500637	87.76233704793219	0.8715718051220943	100.69432780198527
280	-28.3836794199	0.0916751248163	-28.4753545447	84.2998400038144	0.8715718051220943	96.72162351787554
290	-28.7535532821	0.0916784839507	-28.8452317661	82.86810600559153	0.8715718051220943	95.0789200827612
300	-29.9179291376	0.0916862316108	-30.0096153693	80.18562846544862	0.8715718051220943	92.00117304645461
310	-28.7733887038	0.0916786398173	-28.8650673437	82.80639983357813	0.8715718051220943	95.00812135837526
320	-28.1916315119	0.0916723647504	-28.2833038766	85.65205960141977	0.8715718051220943	98.27309591482388
330	-28.2175196616	0.091668324008	-28.3091879856	88.03430315365806	0.8715718051220943	101.0063687653661
340	-28.1687277064	0.0916717785209	-28.2603994849	85.96441895599102	0.8715718051220943	98.631482169101
350	-28.1713909059	0.091669158356	-28.2630600643	87.4937509459008	0.8715718051220943	100.38616489394609
360	-28.2429921912	0.0916679971374	-28.3346601883	88.25430461005651	0.8715718051220943	101.25878796376782
370	-29.2981040754	0.091663318341	-29.3897673938	92.08739366194845	0.8715718051220943	105.65669187640641
380	-28.5169445358	0.0916764674723	-28.6086210033	83.70276289386254	0.8715718051220943	96.03656566441708
