it	joined_post	joined_prior	joined_lik	shape_sp0	rate_sp0	shape_sp1	rate_sp1	mean_bm_sp0	mean_bm_sp1	sp1-sp0
390	-74.4791214014	-18.4913150651	-55.9878063363	31.5301065355	0.364047833505	60.4547556418	0.460836920736	86.6097903453	131.184705308	44.5749149627
400	-74.4791214014	-18.4913150651	-55.9878063363	31.5301065355	0.364047833505	60.4547556418	0.460836920736	86.6097903453	131.184705308	44.5749149627
410	-75.0676493343	-19.4609424801	-55.6067068541	29.4366523827	0.263174758473	72.2330882799	0.573105660516	111.852111325	126.037994835	14.1858835095
420	-74.9124112065	-19.2247317952	-55.6876794113	29.4366523827	0.263174758473	69.9445690626	0.499518028515	111.852111325	140.024113385	28.1720020595
430	-74.1160137827	-17.8925356001	-56.2234781826	21.1660855426	0.219470793944	64.8989820752	0.537413869836	96.4414679612	120.76164334	24.3201753789
440	-71.0577206162	-16.1637238218	-54.8939967944	21.1660855426	0.219470793944	47.8020076432	0.346270518131	96.4414679612	138.048159286	41.6066913251
450	-70.4837400387	-14.2106183061	-56.2731217327	15.4886727293	0.167731460123	34.1005321438	0.245843007805	92.342084889	138.708570353	46.3664854637
460	-70.5251187496	-14.0985462297	-56.4265725199	14.4020923352	0.133591090654	34.1005321438	0.245843007805	107.807281644	138.708570353	30.9012887093
470	-70.062896413	-14.0243595226	-56.0385368904	20.5068800939	0.197117223146	27.2141832448	0.222010944713	104.033933548	122.580367738	18.5464341906
480	-70.1060896495	-12.6994311585	-57.4066584911	20.5068800939	0.197117223146	14.0691251651	0.117785382944	104.033933548	119.447123349	15.4131898011
490	-71.73861629	-13.3149268724	-58.4236894176	24.5012800825	0.224704989398	16.2187634866	0.101116445233	109.037543617	160.396891418	51.3593478009
500	-72.0363872095	-13.1963382763	-58.8400489332	24.5012800825	0.224704989398	15.0422462751	0.0917476964438	109.037543617	163.952304615	54.9147609978
510	-71.8174539719	-12.3211365116	-59.4963174603	20.522273949	0.182696470388	10.3108193542	0.0921716227487	112.329887411	111.865442386	-0.464445024767
520	-69.5744094677	-12.9725764143	-56.6018330534	23.4696865389	0.234513474706	13.8107109201	0.107449489727	100.078200489	128.532121979	28.45392149
530	-69.8748491612	-12.7187361771	-57.1561129841	23.4696865389	0.234513474706	11.29890676	0.0808512771936	100.078200489	139.749267447	39.6710669585
540	-70.8118290751	-12.6036551149	-58.2081739602	23.4696865389	0.234513474706	10.164498899	0.0644485162253	100.078200489	157.715018039	57.63681755
550	-69.6558354244	-13.7542489335	-55.9015864909	22.4145397585	0.21757734223	22.625407183	0.181561331981	103.018722119	124.615780993	21.5970588744
560	-71.6833526026	-13.102477726	-58.5808748767	18.2712615109	0.150667120086	20.3499829881	0.149461920911	121.269069858	136.154967527	14.8858976691
570	-69.4779857963	-13.0173837849	-56.4606020114	20.1633579242	0.197305551775	17.5717846018	0.137986051236	102.193565984	127.344644219	25.1510782356
580	-70.650590317	-13.9057109584	-56.7448793586	21.8299241727	0.224987864618	24.7351691806	0.163624645958	97.0271183727	151.170192215	54.1430738426
590	-70.2183911716	-14.9909809837	-55.2274101879	28.0909046419	0.260344070466	29.2329665368	0.222190868494	107.899152808	131.566912425	23.6677596169
600	-71.5522954626	-15.7092119571	-55.8430835055	23.928033161	0.269847189734	40.474148315	0.316687185297	88.6725304961	127.804818743	39.1322882466
610	-70.5432059522	-16.5537677999	-53.9894381523	33.3247749602	0.341845963646	39.465941495	0.301711860732	97.4847694698	130.806728642	33.3219591727
620	-70.1093424093	-15.5761090009	-54.5332334083	30.1814974672	0.305342859168	32.91087747	0.259968493235	98.8446153596	126.595638804	27.7510234442
630	-70.7676917686	-15.8901119473	-54.8775798214	33.31457899	0.312290799816	32.91087747	0.259968493235	106.678067396	126.595638804	19.9175714074
640	-70.7676917686	-15.8901119473	-54.8775798214	33.31457899	0.312290799816	32.91087747	0.259968493235	106.678067396	126.595638804	19.9175714074
650	-70.8783062583	-15.7911944223	-55.087111836	24.8801929473	0.228071081807	40.3989172995	0.301359174823	109.089643238	134.055707191	24.9660639532
660	-70.7638040343	-14.7943285118	-55.9694755225	24.8801929473	0.228071081807	30.484116526	0.247500842942	109.089643238	123.167728092	14.0780848536
670	-70.9397861583	-16.3750701496	-54.5647160087	30.9069583921	0.313569514284	40.1032529896	0.323516880269	98.5649337203	123.960310684	25.3953769635
680	-70.9397861583	-16.3750701496	-54.5647160087	30.9069583921	0.313569514284	40.1032529896	0.323516880269	98.5649337203	123.960310684	25.3953769635
690	-72.0311141947	-16.3967846567	-55.634329538	38.1418469861	0.394243991266	33.1082570138	0.220094855954	96.7468061178	150.42721862	53.6804125023
700	-70.7836485948	-16.0766526305	-54.7069959643	38.1418469861	0.394243991266	29.9168045898	0.210227018516	96.7468061178	142.307134454	45.5603283362
710	-70.7836485948	-16.0766526305	-54.7069959643	38.1418469861	0.394243991266	29.9168045898	0.210227018516	96.7468061178	142.307134454	45.5603283362
720	-70.6619310624	-15.1231059789	-55.5388250835	38.1418469861	0.394243991266	20.4222504937	0.169314597822	96.7468061178	120.617186919	23.8703808017
730	-72.1968699025	-14.952028799	-57.2448411035	34.3416848396	0.330396372685	22.6034609573	0.141342100835	103.940865211	159.920227758	55.9793625471
740	-70.2415063092	-14.620877373	-55.6206289362	34.3416848396	0.330396372685	19.2769537832	0.156335014904	103.940865211	123.305414306	19.3645490943
750	-70.1646457409	-13.6708530621	-56.4937926788	24.9405865631	0.231251540036	19.2769537832	0.156335014904	107.850466895	123.305414306	15.4549474104
760	-70.8903113912	-15.5993802215	-55.2909311697	42.4877654383	0.447495928869	20.788763885	0.166373242721	94.9455910039	124.952567763	30.0069767589
770	-69.7733216483	-14.3541863858	-55.4191352625	30.1747639163	0.308559093827	20.788763885	0.166373242721	97.7924958946	124.952567763	27.1600718682
780	-72.4821873493	-15.2968280107	-57.1853593386	39.5610419394	0.348697320243	20.788763885	0.166373242721	113.453816943	124.952567763	11.4987508196
790	-72.4421323063	-14.9560809553	-57.4860513511	39.5610419394	0.348697320243	17.4094987351	0.138167838189	113.453816943	126.002541281	12.5487243378
800	-69.8234573052	-14.274110777	-55.5493465283	27.0281970721	0.288749726371	23.143221112	0.177536139319	93.6042344067	130.35780321	36.7535688033
810	-70.7774628116	-15.5703728369	-55.2070899747	30.7938775354	0.288957968362	32.2573191432	0.260170002285	106.568708625	123.985543529	17.4168349034
820	-71.1797443781	-14.9677871705	-56.2119572075	22.7143795458	0.258775178646	34.3476052909	0.253707970167	87.776500299	135.382444896	47.605944597
830	-69.8977583278	-14.7856103358	-55.1121479919	20.9484183922	0.202967985468	34.3476052909	0.253707970167	103.210456289	135.382444896	32.1719886071
840	-70.8289097409	-14.9293305043	-55.8995792366	22.3887987345	0.199789327862	34.3476052909	0.253707970167	112.062035416	135.382444896	23.3204094803
850	-70.9689858649	-14.2925843048	-56.6764015601	16.0379350577	0.183191009016	34.3476052909	0.253707970167	87.5476102451	135.382444896	47.8348346509
860	-70.4798629815	-13.9143636836	-56.5654992979	12.3074291746	0.131490680596	34.3476052909	0.253707970167	93.5992506754	135.382444896	41.7831942206
870	-70.4798629815	-13.9143636836	-56.5654992979	12.3074291746	0.131490680596	34.3476052909	0.253707970167	93.5992506754	135.382444896	41.7831942206
880	-70.3939179518	-13.7651765619	-56.62874139	12.3074291746	0.131490680596	32.8666226268	0.242819416805	93.5992506754	135.354178258	41.754927583
890	-69.5312872392	-13.2612859556	-56.2700012836	16.3743671838	0.163165827927	23.7870316566	0.184891167847	100.354145177	128.654234454	28.3000892766
900	-69.7885281497	-13.3641013849	-56.4244267648	17.3788510408	0.18683626429	23.7870316566	0.184891167847	93.0164767894	128.654234454	35.6377576645
910	-69.8658035919	-12.4934837787	-57.3723198132	16.5860328807	0.167068602521	15.9677104166	0.110622167382	99.2767799003	144.344581149	45.0678012492
920	-76.8450890782	-13.0679332916	-63.7771557866	14.2146101183	0.110398327272	24.1095458461	0.141374904831	128.757477306	170.536248105	41.7787707992
930	-75.8638696787	-12.4040483571	-63.4598213216	9.17522718818	0.0718017219676	22.4774148836	0.212636057651	127.78561484	105.708387994	-22.0772268459
940	-69.8992564104	-12.5002618856	-57.3989945247	11.7670898033	0.114543368429	20.8593716708	0.158210294013	102.730432715	131.845856181	29.1154234657
950	-70.2876308767	-13.1973933271	-57.0902375496	24.3956337391	0.256774366915	15.0904521376	0.127669307502	95.0080571992	118.199529964	23.191472765
960	-70.3691281801	-14.8492603293	-55.5198678508	34.9057758539	0.370458997805	20.9458918761	0.167072845214	94.2230477886	125.369816078	31.146768289
970	-70.4831232361	-15.867534288	-54.6155889482	34.9057758539	0.370458997805	31.0649977482	0.230706560061	94.2230477886	134.651557979	40.4285101903
980	-69.8532021734	-14.3079305151	-55.5452716583	28.284497251	0.268648850443	22.2620652501	0.160690079304	105.28426682	138.540383741	33.2561169206
990	-70.9667799067	-15.4649120879	-55.5018678187	39.7698038031	0.391652319791	22.1973639133	0.186897123426	101.54364418	118.767819999	17.2241758186
1000	-70.1415809387	-14.865722361	-55.2758585777	36.0015229783	0.370485979836	20.0394792815	0.142331650948	97.1737796779	140.794258677	43.6204789989
1010	-70.0713269343	-15.6621382655	-54.4091886688	36.0015229783	0.370485979836	27.9347924849	0.211177492471	97.1737796779	132.281107035	35.1073273568
1020	-71.1880326913	-16.8607550292	-54.327277662	47.8977428363	0.460433759049	27.9347924849	0.211177492471	104.027434772	132.281107035	28.2536722625
1030	-72.9045672584	-18.8663101019	-54.0382571564	67.7399095406	0.673817781444	27.9347924849	0.211177492471	100.531495912	132.281107035	31.7496111228
1040	-74.1814755492	-18.4263821435	-55.7550934057	67.7399095406	0.673817781444	23.5427792727	0.203911120405	100.531495912	115.456083151	14.9245872386
1050	-73.4314688443	-17.6143940751	-55.8170747693	59.7095773687	0.584269269082	23.5427792727	0.203911120405	102.195307076	115.456083151	13.2607760748
1060	-73.6347601058	-19.1320218678	-54.5027382381	59.7095773687	0.584269269082	38.6561119465	0.266856373484	102.195307076	144.857368186	42.6620611101
1070	-72.1238288676	-17.5549603817	-54.5688684859	44.0904966418	0.43273513532	38.6561119465	0.266856373484	101.887951874	144.857368186	42.9694163116
1080	-72.5692890135	-18.2476931254	-54.3215958881	44.0904966418	0.43273513532	45.5327677012	0.31752805614	101.887951874	143.397620527	41.5096686532
1090	-70.5612688167	-16.0728445873	-54.4884242294	35.8781833499	0.364604209716	32.1243720007	0.257882592697	98.4030968208	124.569757364	26.1666605434
1100	-70.5612688167	-16.0728445873	-54.4884242294	35.8781833499	0.364604209716	32.1243720007	0.257882592697	98.4030968208	124.569757364	26.1666605434
1110	-70.7144867613	-16.1114592752	-54.6030274861	36.2778100835	0.351124354871	32.1243720007	0.257882592697	103.318979673	124.569757364	21.2507776913
1120	-71.9821645512	-17.3495161643	-54.6326483869	48.4975949797	0.511908350253	32.1243720007	0.257882592697	94.7388237674	124.569757364	29.8309335967
1130	-73.3013272211	-18.4341433193	-54.8671839018	48.4975949797	0.511908350253	42.932084985	0.296441157949	94.7388237674	144.824980722	50.0861569541
1140	-73.3013272211	-18.4341433193	-54.8671839018	48.4975949797	0.511908350253	42.932084985	0.296441157949	94.7388237674	144.824980722	50.0861569541
1150	-72.5164566657	-16.1776265263	-56.3388301394	40.171365876	0.4465247923	28.8180661406	0.2369047339	89.9644690927	121.644112662	31.6796435689
1160	-71.6808441244	-15.1395910966	-56.5412530278	33.5923057146	0.372688455162	25.1550454099	0.172467666645	90.1350853489	145.853688979	55.7186036306
1170	-71.6808441244	-15.1395910966	-56.5412530278	33.5923057146	0.372688455162	25.1550454099	0.172467666645	90.1350853489	145.853688979	55.7186036306
1180	-70.3564710776	-15.7070681261	-54.6494029516	33.2793194244	0.341926285542	31.0971268302	0.248905000745	97.3289297478	124.935725426	27.606795678
1190	-70.1307718263	-15.7180127307	-54.4127590956	33.2793194244	0.341926285542	31.2272334788	0.228244398325	97.3289297478	136.814895384	39.485965636
1200	-70.8401474787	-15.7958099088	-55.0443375699	33.2793194244	0.341926285542	32.0127577843	0.220691873545	97.3289297478	145.056350603	47.7274208557
1210	-70.173039176	-15.8419238829	-54.3311152932	32.6801011216	0.337127946439	33.0434035641	0.255202476634	96.9367905177	129.479164936	32.5423744179
1220	-70.8580620528	-16.8322986104	-54.0257634424	38.690564232	0.402092881866	36.8545838777	0.27234139279	96.2229523998	135.324944549	39.1019921492
1230	-72.4644346059	-15.0811694175	-57.3832651884	32.8187320001	0.280571062744	25.416785986	0.192201406082	116.971193248	132.240374845	15.2691815967
1240	-72.8833553683	-15.5657436973	-57.3176116709	32.8187320001	0.280571062744	30.2380510877	0.216679103124	116.971193248	139.552225627	22.5810323781
1250	-72.4666976762	-14.9615089791	-57.5051886971	33.9857031353	0.295064972435	23.0433566791	0.187561284466	115.180405369	122.857746175	7.67734080562
1260	-71.7268758987	-17.8656196568	-53.8612562418	50.7997067235	0.52608725223	34.9592810372	0.26771783541	96.5613717271	130.582562733	34.021191006
1270	-72.2151851086	-17.1552063745	-55.0599787341	47.9593017422	0.49921724565	30.7804939688	0.209647068369	96.0690003403	146.820531326	50.7515309852
1280	-72.6002127338	-17.7801456699	-54.8200670639	54.1558835821	0.552028359695	30.7804939688	0.209647068369	98.1034445622	146.820531326	48.7170867634
1290	-72.6002127338	-17.7801456699	-54.8200670639	54.1558835821	0.552028359695	30.7804939688	0.209647068369	98.1034445622	146.820531326	48.7170867634
1300	-73.9656652024	-20.4188144947	-53.5468507077	68.1046336262	0.684587384911	42.9815888232	0.31393139273	99.4827470199	136.913955783	37.431208763
1310	-71.6172528536	-17.3246078023	-54.2926450513	37.4942286987	0.352925388516	42.9815888232	0.31393139273	106.238400293	136.913955783	30.6755554899
1320	-72.0661656221	-16.6767570168	-55.3894086053	37.4942286987	0.352925388516	36.5137053523	0.303307008836	106.238400293	120.385300334	14.1469000413
1330	-70.999074276	-16.2272048415	-54.7718694344	37.4942286987	0.352925388516	32.090835328	0.230655280213	106.238400293	139.128986331	32.8905860383
1340	-70.999074276	-16.2272048415	-54.7718694344	37.4942286987	0.352925388516	32.090835328	0.230655280213	106.238400293	139.128986331	32.8905860383
1350	-71.2762723498	-15.6643330472	-55.6119393026	37.4942286987	0.352925388516	26.4730170243	0.219755640717	106.238400293	120.46569971	14.2272994172
1360	-74.1084246424	-14.0729851801	-60.0354394623	27.3460190028	0.335296161932	20.8022489851	0.142883931304	81.5578050318	145.588442278	64.0306372466
1370	-69.8689582447	-13.5713503075	-56.2976079372	22.4360030419	0.228963397068	20.8022489851	0.142883931304	97.9894748645	145.588442278	47.5989674139
1380	-69.9288284337	-13.8604038878	-56.0684245459	21.4636616306	0.19995546762	24.660052602	0.176965457559	107.342209173	139.349525846	32.0073166728
1390	-69.9707910844	-12.9328208405	-57.0379702439	12.5510273241	0.122929261345	24.3586712996	0.19217679975	102.099591154	126.751362971	24.651771817
1400	-69.9503043222	-13.1997250663	-56.7505792559	15.1801664921	0.16283235207	24.3586712996	0.19217679975	93.225739843	126.751362971	33.5256231276
1410	-69.8783767058	-13.6488046546	-56.2295720511	16.1580948652	0.151237708099	27.8613986455	0.213911607705	106.839061953	130.247249995	23.4081880416
1420	-69.8281616898	-13.2222023428	-56.605959347	16.1580948652	0.151237708099	23.6244084246	0.184878710194	106.839061953	127.783282346	20.9442203929
1430	-69.8281616898	-13.2222023428	-56.605959347	16.1580948652	0.151237708099	23.6244084246	0.184878710194	106.839061953	127.783282346	20.9442203929
1440	-69.8956012819	-15.2502465195	-54.6453547625	24.4571168834	0.241627626513	35.4287306496	0.271586315482	101.218214309	130.451089138	29.2328748288
1450	-69.8956012819	-15.2502465195	-54.6453547625	24.4571168834	0.241627626513	35.4287306496	0.271586315482	101.218214309	130.451089138	29.2328748288
1460	-71.8627468795	-15.3849458211	-56.4778010584	25.8231679396	0.222569586791	35.4287306496	0.271586315482	116.022895634	130.451089138	14.4281935038
1470	-70.9075154264	-15.3863746931	-55.5211407332	25.7735579663	0.286468280018	35.4287306496	0.271586315482	89.970023783	130.451089138	40.4810653552
1480	-75.1004324079	-15.3434284802	-59.7570039278	35.5129735183	0.302440157622	25.2909170015	0.224550404763	117.421488593	112.629131211	-4.79235738212
1490	-70.9035941058	-14.9886487905	-55.9149453153	27.6407709162	0.249560800856	29.6804868565	0.212265611442	110.757662347	139.827109323	29.0694469758
1500	-71.2330843198	-16.4289491626	-54.8041351572	33.8035559736	0.321067710994	37.7565986432	0.304865577969	105.28481942	123.846709408	18.5618899875
1510	-70.7709157054	-16.1711020796	-54.5998136258	31.2360299503	0.310122904999	37.7565986432	0.304865577969	100.721454129	123.846709408	23.1252552784
1520	-71.324489543	-16.4970206306	-54.8274689125	40.3000841412	0.419161373549	31.8861712041	0.261385867147	96.1445559736	121.98888774	25.8443317662
1530	-71.4325663127	-16.2143807125	-55.2181856001	37.5394179689	0.353428365451	31.8861712041	0.261385867147	106.215068281	121.98888774	15.7738194584
1540	-71.3169506598	-15.8264131491	-55.4905375107	38.9552916112	0.41746994109	26.6034465963	0.184519623049	93.3128059698	144.17678812	50.8639821503
1550	-71.0721107248	-16.2612382808	-54.810872444	38.9552916112	0.41746994109	30.8940007189	0.242216816983	93.3128059698	127.546885901	34.2340799309
1560	-71.9648018608	-16.4146520167	-55.5501498442	38.9552916112	0.41746994109	32.4488381242	0.221516770523	93.3128059698	146.484792314	53.1719863446
1570	-71.8317855746	-16.8968027767	-54.9349827979	38.9552916112	0.41746994109	37.2298443981	0.262018096933	93.3128059698	142.088828344	48.7760223742
1580	-70.8485896418	-16.1693970001	-54.6791926416	31.788954586	0.309749200477	37.2298443981	0.262018096933	102.628044034	142.088828344	39.4607843102
1590	-73.0805174104	-19.131799653	-53.9487177575	37.7051901237	0.356294444704	60.7055523582	0.447555883157	105.82592764	135.637927336	29.8119996957
1600	-72.2738672267	-17.4159190652	-54.8579481615	35.4866555272	0.35637811758	45.8976950821	0.315058205204	99.5758543429	145.680049984	46.1041956414
1610	-73.5806531258	-18.3438625698	-55.236790556	35.4866555272	0.35637811758	55.0329089508	0.459279382843	99.5758543429	119.824470696	20.2486163534
1620	-74.7772483673	-19.5592291385	-55.2180192287	41.0959041288	0.37715334727	61.5194982164	0.496331972871	108.963381676	123.948287797	14.9849061216
1630	-74.6157070357	-21.1025754274	-53.5131316083	53.5752188697	0.512820863678	64.3457542249	0.488556595959	104.471605319	131.70583461	27.2342292904
1640	-74.4123173252	-21.1626684441	-53.2496488811	54.132029646	0.5569402543	64.3457542249	0.488556595959	97.1953979409	131.70583461	34.5104366688
1650	-74.976594385	-21.6309085806	-53.3456858044	66.1098546924	0.661408566285	56.9903434148	0.444075412349	99.9531274046	128.334831945	28.3817045405
1660	-75.313229504	-21.3264574101	-53.9867720939	66.1098546924	0.661408566285	53.9535605712	0.436346551321	99.9531274046	123.648417543	23.6952901385
1670	-74.4675764587	-20.2404970076	-54.2270794511	66.1098546924	0.661408566285	43.1773824175	0.352920679539	99.9531274046	122.343021877	22.3898944721
1680	-75.0934909453	-19.7786215767	-55.3148693685	66.1098546924	0.661408566285	38.5824812796	0.329067509148	99.9531274046	117.247920889	17.2947934843
1690	-75.0934909453	-19.7786215767	-55.3148693685	66.1098546924	0.661408566285	38.5824812796	0.329067509148	99.9531274046	117.247920889	17.2947934843
1700	-74.7620517691	-21.1381329292	-53.6239188398	66.1098546924	0.661408566285	52.1327577849	0.373904529122	99.9531274046	139.42799224	39.4748648356
1710	-73.1913638159	-19.545378524	-53.6459852919	50.3447501297	0.498969076762	52.1327577849	0.373904529122	100.897535487	139.42799224	38.5304567528
1720	-73.7100817868	-20.1118778095	-53.5982039773	51.2600047423	0.518627135765	56.7865171322	0.450225365026	98.8378763998	126.129093435	27.2912170353
1730	-74.5381458482	-20.6002275597	-53.9379182886	56.1239455506	0.538183829259	56.7865171322	0.450225365026	104.283968598	126.129093435	21.8451248367
1740	-72.4425493248	-18.2628390337	-54.1797102911	50.1792414173	0.506283162945	39.5179277812	0.321534255948	99.1129966191	122.904253746	23.791257127
1750	-73.9798329656	-18.5618726824	-55.4179602831	50.1792414173	0.506283162945	42.547232119	0.28256640538	99.1129966191	150.574276732	51.4612801133
1760	-70.6716025263	-16.2117715956	-54.4598309307	40.3473636716	0.403737634297	29.0573623482	0.205848581984	99.9346115995	141.158914325	41.2243027256
1770	-70.3810523706	-16.0605463064	-54.3205060642	40.3473636716	0.403737634297	27.5505532139	0.200404824736	99.9346115995	137.474500677	37.539889078
1780	-71.9702391449	-15.2148326986	-56.7554064462	32.0152781795	0.278687048459	27.5505532139	0.200404824736	114.878959595	137.474500677	22.5955410826
1790	-72.0928574326	-16.8080082719	-55.2848491608	40.4921846713	0.426619671116	34.7675547175	0.29031993882	94.9140122055	119.756000427	24.841988222
1800	-70.8435852593	-16.2688685749	-54.5747166843	40.4921846713	0.426619671116	29.4357513118	0.230726374984	94.9140122055	127.578614772	32.6646025667
1810	-70.0914897233	-15.1849831119	-54.9065066114	37.6260980691	0.386074112139	21.5658615534	0.168393664834	97.4582259883	128.068128778	30.6099027898
1820	-70.9711662478	-15.0709590019	-55.9002072459	37.6260980691	0.386074112139	20.4198144488	0.174199669479	97.4582259883	117.220741635	19.7625156465
1830	-71.2881897997	-13.5023154599	-57.7858743398	26.7538729731	0.262844524272	15.759608368	0.143425013997	101.785924768	109.88047293	8.09454816177
1840	-70.2936501124	-13.6053865705	-56.6882635419	23.2273522708	0.235116610303	20.3529676115	0.135025492533	98.7907755256	150.734259359	51.9434838331
1850	-72.6597594419	-13.8401016511	-58.8196577908	25.5923447874	0.217274899933	20.3529676115	0.135025492533	117.787856744	150.734259359	32.9464026149
1860	-70.9440370703	-14.5901391676	-56.3538979028	42.2375741704	0.412215980924	11.0683536784	0.0798441262494	102.464669312	138.624520029	36.159850717
