it	post	prior	lik	shape	rate	mean_bm
0	-1614.10616553	0.138456586717	-1614.24462212	5	2.50983502029	1.99216281531
10	-1439.76773783	0.128816396004	-1439.89655423	7.00871979758	2.33179392517	3.00572006897
20	-738.164393461	0.0797081233154	-738.244101584	52.8446311998	2.33179392517	22.6626506869
30	-286.213837714	0.0792021821114	-286.293039896	114.793681899	2.33179392517	49.2297714049
40	-34.7614610634	0.0912155488996	-34.8526766123	104.789868464	0.919756409867	113.932196981
50	-28.5777463116	0.0900423878577	-28.6677886995	104.789868464	1.04920881891	99.8751312176
60	-28.5777463116	0.0900423878577	-28.6677886995	104.789868464	1.04920881891	99.8751312176
70	-28.5777463116	0.0900423878577	-28.6677886995	104.789868464	1.04920881891	99.8751312176
80	-28.5777463116	0.0900423878577	-28.6677886995	104.789868464	1.04920881891	99.8751312176
90	-28.6336709134	0.0900429749976	-28.7237138884	102.893677523	1.04920881891	98.0678733044
100	-28.6336709134	0.0900429749976	-28.7237138884	102.893677523	1.04920881891	98.0678733044
110	-28.6336709134	0.0900429749976	-28.7237138884	102.893677523	1.04920881891	98.0678733044
120	-28.6336709134	0.0900429749976	-28.7237138884	102.893677523	1.04920881891	98.0678733044
130	-28.6336709134	0.0900429749976	-28.7237138884	102.893677523	1.04920881891	98.0678733044
140	-28.6336709134	0.0900429749976	-28.7237138884	102.893677523	1.04920881891	98.0678733044
150	-28.5955507809	0.0903329407022	-28.6858837216	102.893677523	1.0170563131	101.168122352
160	-28.9200863835	0.0903353266283	-29.0104217101	97.5762495874	1.0170563131	95.9398691403
170	-28.9200863835	0.0903353266283	-29.0104217101	97.5762495874	1.0170563131	95.9398691403
180	-28.7932779254	0.0903325563888	-28.8836104818	104.093433882	1.0170563131	102.347758468
190	-28.4939144558	0.0903030588899	-28.5842175147	101.236037255	1.02043281966	99.2089192977
200	-28.4939144558	0.0903030588899	-28.5842175147	101.236037255	1.02043281966	99.2089192977
210	-28.4939144558	0.0903030588899	-28.5842175147	101.236037255	1.02043281966	99.2089192977
220	-28.4939144558	0.0903030588899	-28.5842175147	101.236037255	1.02043281966	99.2089192977
230	-28.8724003159	0.0903018678905	-28.9627021838	104.7578847	1.02043281966	102.660246399
240	-29.5796130862	0.0905226437597	-29.6701357299	104.7578847	0.996013246686	105.177200252
250	-29.5796130862	0.0905226437597	-29.6701357299	104.7578847	0.996013246686	105.177200252
260	-29.5796130862	0.0905226437597	-29.6701357299	104.7578847	0.996013246686	105.177200252
270	-28.5216270242	0.0905257024955	-28.6121527267	97.4139176413	0.996013246686	97.8038374142
280	-28.5412717304	0.0912126929867	-28.6324844233	88.8924572134	0.921272777293	96.4887483972
290	-28.5412717304	0.0912126929867	-28.6324844233	88.8924572134	0.921272777293	96.4887483972
300	-29.140963093	0.0917063355733	-29.2326694286	91.2587427657	0.866973803227	105.261245987
310	-28.4187381839	0.0917092410954	-28.510447425	88.8920793672	0.866973803227	102.531447936
320	-28.4737503872	0.0917339264097	-28.5654843136	88.8920793672	0.864282067591	102.850773724
330	-28.4737503872	0.0917339264097	-28.5654843136	88.8920793672	0.864282067591	102.850773724
340	-28.4806181999	0.0917338862117	-28.5723520861	88.9212787176	0.864282067591	102.884558239
350	-28.4120370698	0.0917440592919	-28.503781129	83.382204145	0.864282067591	96.4756845846
360	-28.7621260886	0.0917325555582	-28.8538586441	89.939370855	0.864282067591	104.062521054
370	-28.7621260886	0.0917325555582	-28.8538586441	89.939370855	0.864282067591	104.062521054
380	-28.5765229363	0.0920892490332	-28.6686121854	85.71516194	0.826176995902	103.749151048
390	-28.0614891496	0.0920977582824	-28.1535869079	82.0049475325	0.826176995902	99.2583283476
400	-28.3144367943	0.0920822280144	-28.4065190223	80.0369101776	0.828512567399	96.6031335273
410	-28.2113484437	0.0921311936527	-28.3034796373	80.0178694555	0.823201368289	97.2032755751
420	-28.239644492	0.0921201765135	-28.3317646685	84.0077856745	0.823201368289	102.05010452
430	-28.8978589233	0.092574191022	-28.9904331143	73.0841588657	0.778836711543	93.8375885247
440	-28.8978589233	0.092574191022	-28.9904331143	73.0841588657	0.778836711543	93.8375885247
450	-28.0841472549	0.0931767817739	-28.1773240367	73.0841588657	0.713908081347	102.371945038
460	-27.9233966416	0.0931852405336	-28.0165818821	71.8950170801	0.713908081347	100.706265916
470	-28.658862826	0.0929444563027	-28.7518072823	69.9630572191	0.741533358594	94.3491704159
480	-28.658862826	0.0929444563027	-28.7518072823	69.9630572191	0.741533358594	94.3491704159
490	-28.0415389085	0.0925758463936	-28.1341147548	76.1420604574	0.776750185448	98.0264464481
500	-27.9970703247	0.0927868348918	-28.0898571596	76.1420604574	0.753973112062	100.987766327
510	-27.9970703247	0.0927868348918	-28.0898571596	76.1420604574	0.753973112062	100.987766327
520	-28.2253534407	0.0924756067793	-28.3178290475	76.1420604574	0.787589668582	96.6773225893
530	-29.2795399199	0.0924930661375	-29.3720329861	73.1124358226	0.787589668582	92.8306182003
540	-27.9272249685	0.092956851214	-28.0201818197	73.1124358226	0.737536220046	99.1306377036
550	-29.3409883862	0.0934977210249	-29.4344861072	73.1124358226	0.679478201627	107.60085555
560	-29.3409883862	0.0934977210249	-29.4344861072	73.1124358226	0.679478201627	107.60085555
570	-29.3409883862	0.0934977210249	-29.4344861072	73.1124358226	0.679478201627	107.60085555
580	-27.9165929997	0.09299942831	-28.009592428	73.1124358226	0.73295366896	99.7504193224
590	-27.9165929997	0.09299942831	-28.009592428	73.1124358226	0.73295366896	99.7504193224
600	-27.9554743765	0.0929943536655	-28.0484687301	73.9025361145	0.73295366896	100.828386901
610	-27.9554743765	0.0929943536655	-28.0484687301	73.9025361145	0.73295366896	100.828386901
620	-27.9554743765	0.0929943536655	-28.0484687301	73.9025361145	0.73295366896	100.828386901
630	-27.9554743765	0.0929943536655	-28.0484687301	73.9025361145	0.73295366896	100.828386901
640	-27.9784334091	0.0931786407329	-28.0716120498	72.4524887167	0.714177547317	101.448846983
650	-28.1774814021	0.0933668388307	-28.270848241	71.6644717348	0.694612017316	103.171943399
660	-28.1774814021	0.0933668388307	-28.270848241	71.6644717348	0.694612017316	103.171943399
670	-27.8386410975	0.0938393381811	-27.9324804357	64.8268858634	0.652174829128	99.4010853655
680	-29.1628724877	0.0943170294407	-29.2571895171	64.8268858634	0.601316037754	107.808343356
690	-28.7924947001	0.0942497354118	-28.8867444355	64.8268858634	0.608465058929	106.54167386
700	-27.8434745943	0.0938258555663	-27.9373004498	64.8268858634	0.653614055052	99.1822090763
710	-27.8434745943	0.0938258555663	-27.9373004498	64.8268858634	0.653614055052	99.1822090763
720	-28.1838053442	0.0936206401089	-28.2774259843	64.8268858634	0.675545756304	95.9622427622
730	-28.1838053442	0.0936206401089	-28.2774259843	64.8268858634	0.675545756304	95.9622427622
740	-28.1838053442	0.0936206401089	-28.2774259843	64.8268858634	0.675545756304	95.9622427622
750	-28.1838053442	0.0936206401089	-28.2774259843	64.8268858634	0.675545756304	95.9622427622
760	-28.1838053442	0.0936206401089	-28.2774259843	64.8268858634	0.675545756304	95.9622427622
770	-28.1838053442	0.0936206401089	-28.2774259843	64.8268858634	0.675545756304	95.9622427622
780	-27.9471281015	0.0929855484328	-28.04011365	72.4240520719	0.734959640157	98.5415363167
790	-28.52591548	0.0929603032831	-28.6188757833	76.7748753697	0.734959640157	104.461348862
800	-27.9929597517	0.0925702655213	-28.0855300173	76.7748753697	0.777026364374	98.806010825
810	-28.33542122	0.0923733144118	-28.4277945344	76.7748753697	0.798335552265	96.1686788869
820	-28.33542122	0.0923733144118	-28.4277945344	76.7748753697	0.798335552265	96.1686788869
830	-28.33542122	0.0923733144118	-28.4277945344	76.7748753697	0.798335552265	96.1686788869
840	-29.5497136674	0.0923464981609	-29.6420601656	85.4264155668	0.798335552265	107.005651101
850	-29.5497136674	0.0923464981609	-29.6420601656	85.4264155668	0.798335552265	107.005651101
860	-28.0121913843	0.0923619660573	-28.1045533504	79.5856787235	0.798335552265	99.689508375
870	-28.7728063847	0.0923503045237	-28.8651566892	83.6430829079	0.798335552265	104.771837695
880	-28.7728063847	0.0923503045237	-28.8651566892	83.6430829079	0.798335552265	104.771837695
890	-28.2847099168	0.092378301874	-28.3770882187	76.9284695587	0.797718917582	96.4355587703
900	-28.9301795252	0.0923886012395	-29.0225681264	74.8923310877	0.797718917582	93.8831077426
910	-28.3972523036	0.0925299703567	-28.489782274	74.8923310877	0.782419786005	95.718861444
920	-28.1043247139	0.0929972424447	-28.1973219564	74.8923310877	0.73201695204	102.309558377
930	-28.1043247139	0.0929972424447	-28.1973219564	74.8923310877	0.73201695204	102.309558377
940	-28.1043247139	0.0929972424447	-28.1973219564	74.8923310877	0.73201695204	102.309558377
950	-28.1043247139	0.0929972424447	-28.1973219564	74.8923310877	0.73201695204	102.309558377
960	-30.3876468295	0.0921322020623	-30.4797790315	74.8923310877	0.825526601342	90.7206757068
970	-28.1614756574	0.0920994485328	-28.253575106	83.7077411449	0.825526601342	101.399205076
980	-28.2846913297	0.0920628664566	-28.3767541961	80.3948937252	0.830488480118	96.8043454544
990	-28.8557365851	0.0926877872411	-28.9484243723	80.3948937252	0.762814413707	105.392468051
1000	-28.4101405626	0.0926231565729	-28.5027637192	73.8811042973	0.772990560326	95.5782749355
1010	-28.375750214	0.093207408306	-28.4689576223	73.8811042973	0.710068416737	104.047867157
1020	-27.9274442552	0.0929116289179	-28.0203558841	73.8811042973	0.741873478319	99.5872024765
1030	-27.9274442552	0.0929116289179	-28.0203558841	73.8811042973	0.741873478319	99.5872024765
1040	-29.764522915	0.0928827504008	-29.8574056654	80.1708934559	0.741873478319	108.065452936
1050	-33.8163827703	0.0911035972326	-33.9074863676	81.1560611787	0.935009705795	86.7970253953
1060	-33.8163827703	0.0911035972326	-33.9074863676	81.1560611787	0.935009705795	86.7970253953
1070	-33.8163827703	0.0911035972326	-33.9074863676	81.1560611787	0.935009705795	86.7970253953
1080	-28.4545946796	0.0910811111131	-28.5456757907	95.1174756697	0.935009705795	101.728864503
1090	-28.3212206141	0.0910838369229	-28.4123044511	91.980586414	0.935009705795	98.3739375581
1100	-28.3527001461	0.0910574121465	-28.4437575583	91.980586414	0.937911598084	98.069569245
1110	-28.2962776915	0.0910558290824	-28.3873335206	93.6810468973	0.937911598084	99.8825977722
1120	-28.2962776915	0.0910558290824	-28.3873335206	93.6810468973	0.937911598084	99.8825977722
