it	post	prior	lik	shape	rate	mean_bm
0	-3276.9741315	0.121765233387	-3277.09589674	5	4.924592002593296	1.0153125370318992
10	-2820.61373831	0.113960252856	-2820.72769856	7.078315717595121	4.355773460588281	1.6250422070020003
20	-2742.30881932	0.113704339624	-2742.42252366	7.271806272296561	4.2499384674818925	1.7110380133586118
30	-2642.27498963	0.114664375174	-2642.38965401	7.271806272296561	4.104160988867796	1.771813116498292
40	-2461.46657837	0.107387755074	-2461.57396612	9.212051779984405	3.918011268460321	2.3512060453068853
50	-2177.76463365	0.103318427739	-2177.86795207	10.989339578694423	3.5673473161467872	3.08053536838246
60	-1920.00979779	0.09083352908	-1920.10063132	16.388102919887363	3.36698197958379	4.867297484589799
70	-1663.07997646	0.0876342681667	-1663.16761073	19.582023918852926	3.0757078174567263	6.366672350251109
80	-1564.885277	0.0848928094355	-1564.97016981	22.23555451615307	3.0015358034894937	7.4080590643971975
90	-1448.88705912	0.0841170504284	-1448.97117617	24.003876727204492	2.8703199972201014	8.362787685851123
100	-1117.77389989	0.0879527712187	-1117.86185266	24.175853907348444	2.352273619438704	10.277653801651377
110	-854.803559922	0.0890485639854	-854.892608486	26.537523709647743	1.9833016604010507	13.38047773543511
120	-511.419480064	0.0939853428633	-511.513465407	26.537523709647743	1.3987509616328384	18.972300600722406
130	-441.35617902	0.0920819897394	-441.44826101	30.521474808525728	1.3517552488380569	22.57914281062449
140	-338.23000409	0.093309192478	-338.323313283	31.32823502725619	1.170987052723338	26.75369890247448
150	-271.092916538	0.0925256019441	-271.18544214	35.18623751785585	1.1024373021171663	31.91676973400913
160	-158.817521458	0.0934076246477	-158.910929083	38.83342991418512	0.9047809742214677	42.92025475845126
170	-39.0137949275	0.0970662813252	-39.1108612088	38.882719244563276	0.5110162268733303	76.08901087636391
180	-29.0107549101	0.0980336041726	-29.1087885143	38.46803084997422	0.41876543152237106	91.86056907832231
190	-28.4672316422	0.0987431218266	-28.5659747641	37.84342803010418	0.3593040870364355	105.32423480689947
200	-28.004715401	0.0976465333979	-28.1023619344	41.06776909594482	0.4081721286945121	100.61384942498397
210	-29.481815964	0.0974119085931	-29.5792278726	40.29421693657049	0.44647558922425795	90.24954086869757
220	-28.0030122937	0.0977030587201	-28.1007153524	40.73150040379243	0.4081479817290124	99.79591282368729
230	-28.2102925782	0.0979600534117	-28.3082526316	39.32550990208714	0.4081479817290124	96.35110710457242
240	-28.2638269845	0.0983117126357	-28.3621386972	39.09016075308018	0.37642785598117395	103.84502669492974
250	-28.3380442098	0.0984065742347	-28.4364507841	37.79056815093512	0.39550392152403824	95.5504259106019
260	-28.5366731092	0.0988014873613	-28.6354745965	36.50823427845841	0.38693908581010206	94.35137368463093
270	-30.6734111821	0.0977121177991	-30.7711232999	38.789298048415276	0.44528604931492605	87.11096632848195
280	-29.5940850719	0.0974701442887	-29.6915552162	40.03414744680488	0.44528604931492605	89.90658366323746
290	-28.156823784	0.0978904961862	-28.2547142801	40.493698839750614	0.39290245699696386	103.06298196568297
300	-28.1002853097	0.0979485618344	-28.1982338715	40.16605340660147	0.39290245699696386	102.22907159603702
310	-28.075521415	0.097984195579	-28.1735056106	39.97017319267318	0.39290245699696386	101.73052492003644
320	-30.8199236015	0.097926183762	-30.9178497853	41.95217226839126	0.3646237754627396	115.05605254388655
330	-28.9148174872	0.0979168149592	-29.0127343022	41.086845338912134	0.3797316359566207	108.19969011906547
340	-28.0470785702	0.0973758216372	-28.1444543918	42.400920489976144	0.4149727385359735	102.17760482186581
350	-27.9848427242	0.0975101772984	-28.0823529015	41.50926195546806	0.4149727385359735	100.02888889017868
360	-28.3474793275	0.0972101344207	-28.4446894619	43.62271574341933	0.4149727385359735	105.12188318037602
370	-28.761975834	0.0970915568643	-28.8590673908	44.59891491442789	0.4149727385359735	107.47432487197388
380	-27.9353999432	0.0969245457665	-28.032324489	43.874914993643834	0.4414670048628314	99.38435831071055
390	-27.9294413549	0.0967632088437	-28.0262045638	44.90237964158633	0.4456428564352731	100.75866580867795
400	-27.9859293754	0.096699838659	-28.0826292141	45.48386137352573	0.4456428564352731	102.06348136567063
410	-28.816940587	0.097256049542	-28.9141966366	41.26059341160677	0.4456428564352731	92.58668194897817
420	-27.9927089453	0.097289087428	-28.0899980328	42.14995681966997	0.42783825230328953	98.518439136177
430	-30.7816742321	0.0972949963492	-30.8789692284	44.81752763179895	0.39118864702822076	114.56755703998171
440	-28.7239119515	0.096683515434	-28.8205954669	43.65031750431581	0.4696488301253778	92.9424597792842
450	-28.0939211256	0.0967413312229	-28.1906624568	44.1468237523282	0.45714237922380946	96.57127791845927
460	-28.0939837105	0.0973512296829	-28.1913349402	41.65177150887438	0.4292281137110606	97.03877769971216
470	-28.3267397792	0.0985316027917	-28.425271382	38.407624420048414	0.36831210021979854	104.28010482720443
480	-28.2114755202	0.0991297976135	-28.3106053179	35.950551710233206	0.36831210021979854	97.60893462033668
490	-28.1343084124	0.0989754972582	-28.2332839097	36.528883879511994	0.36831210021979854	99.17915772442056
500	-28.2523749194	0.0988359109224	-28.3512108303	36.66434176696912	0.379182638814307	96.69309196649256
510	-28.0936927578	0.0985916517385	-28.1922844096	37.668459746665846	0.379182638814307	99.34120365967706
520	-28.1358755835	0.0979102425352	-28.233785826	40.382149172281565	0.39288263020007075	102.78425684463943
530	-28.1408320983	0.0985390769453	-28.2393711752	37.66097780957027	0.384824664485263	97.86529109288033
540	-30.0286577047	0.0996005082572	-30.1282582129	35.99108066116785	0.31844725326476625	113.02054042602724
550	-28.2955246203	0.0995088101797	-28.3950334305	34.909348430968365	0.3602546437651964	96.90186937249106
560	-28.8951683401	0.0995016455698	-28.9946699856	34.53740339165886	0.37297652959541927	92.59940143987826
